Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ATP6V0A1	ATPase H+ transporting V0 subunit a1	NM_001130020	535
ATP6AP1	ATPase H+ transporting accessory protein 1	NM_001183	537
ATP7A	ATPase copper transporting alpha	NM_000052	538
ATP5PO	ATP synthase peripheral stalk subunit OSCP	NM_001697	539
ATP7B	ATPase copper transporting beta	NM_000053	540
ALDH7A1P1	aldehyde dehydrogenase 7 family member A1 pseudogene 1		541
ALDH7A1P2	aldehyde dehydrogenase 7 family member A1 pseudogene 2		542
ALDH7A1P3	aldehyde dehydrogenase 7 family member A1 pseudogene 3		543
ALDH7A1P4	aldehyde dehydrogenase 7 family member A1 pseudogene 4		544
ATR	ATR serine/threonine kinase	NM_001184	545
ATRX	ATRX chromatin remodeler	NM_000489	546
KIF1A	kinesin family member 1A	NM_138483	547
AUH	AU RNA binding methylglutaconyl-CoA hydratase		549
AUP1	AUP1 lipid droplet regulating VLDL assembly factor	NM_181575	550
AVP	arginine vasopressin	NM_000490	551
AVPR1A	arginine vasopressin receptor 1A		552
AVPR1B	arginine vasopressin receptor 1B	NM_000707	553
AVPR2	arginine vasopressin receptor 2		554
AXL	AXL receptor tyrosine kinase		558
AZGP1	alpha-2-glycoprotein 1, zinc-binding	NM_001185	563
AZU1	azurocidin 1	NM_001700	566
B2M	beta-2-microglobulin	NM_004048	567
B2MR	beta-2-microglobulin regulator		568
BAAT	bile acid-CoA:amino acid N-acyltransferase	NM_001701	570
BACH1	BTB domain and CNC homolog 1	NM_206866	571
BAD	BCL2 associated agonist of cell death	NM_032989	572
BAG1	BAG cochaperone 1	NM_004323	573
BAGE	B melanoma antigen	NM_001187	574
ADGRB1	adhesion G protein-coupled receptor B1	NM_001702	575
ADGRB2	adhesion G protein-coupled receptor B2	NM_001703	576
ADGRB3	adhesion G protein-coupled receptor B3		577
BAK1	BCL2 antagonist/killer 1	NM_001188	578
NKX3-2	NK3 homeobox 2		579
BARD1	BRCA1 associated RING domain 1	NM_000465	580
BAX	BCL2 associated X, apoptosis regulator	NM_138763	581
BBS1	Bardet-Biedl syndrome 1		582
BBS2	Bardet-Biedl syndrome 2	NM_031885	583
BBS4	Bardet-Biedl syndrome 4	NM_033028	585
BCAT1	branched chain amino acid transaminase 1	NM_005504	586
BCAT2	branched chain amino acid transaminase 2		587
BCHE	butyrylcholinesterase		590
BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha	NM_000709	593
BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	NM_000056	594
CCND1	cyclin D1	NM_053056	595
BCL2	BCL2 apoptosis regulator	NM_000633, NM_000657	596
BCL2A1	BCL2 related protein A1	NM_004049	597
BCL2L1	BCL2 like 1	NM_138578	598
BCL2L2	BCL2 like 2	NM_004050	599
BAK1P1	BCL2 antagonist/killer 1 pseudogene 1	NG_000850	600
BAK1P2	BCL2 antagonist/killer 1 pseudogene 2	NG_005599	601
BCL3	BCL3 transcription coactivator	NM_005178	602
BCL6	BCL6 transcription repressor	NM_001706	604
BCL7A	BAF chromatin remodeling complex subunit BCL7A		605
NBEAP1	neurobeachin pseudogene 1	NR_027992	606
BCL9	BCL9 transcription coactivator	NM_004326	607
TNFRSF17	TNF receptor superfamily member 17		608
HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	NM_001194	610
OPN1SW	opsin 1, short wave sensitive	NM_001708	611
BCR	BCR activator of RhoGEF and GTPase	NM_004327	613
BCRP4	BCR pseudogene 4	NG_000002	616
BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	NM_004328	617
BCYRN1	brain cytoplasmic RNA 1	NR_001568	618
BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1		619
BCYRN1P2	brain cytoplasmic RNA 1, pseudogene 2		620
BDH1	3-hydroxybutyrate dehydrogenase 1	NM_004051	622
BDKRB1	bradykinin receptor B1		623
BDKRB2	bradykinin receptor B2		624
BDNF	brain derived neurotrophic factor	NM_170735	627
CFB	complement factor B	NM_001710	629
BFSP1	beaded filament structural protein 1	NM_001195	631
BGLAP	bone gamma-carboxyglutamate protein	NM_199173	632
BGN	biglycan	NM_001711	633
CEACAM1	CEA cell adhesion molecule 1	NM_001712	634
BHMT	betaine--homocysteine S-methyltransferase	NM_001713	635
BICD1	BICD cargo adaptor 1	NM_001714	636
BID	BH3 interacting domain death agonist	NM_197966	637
BIK	BCL2 interacting killer	NM_001197	638
PRDM1	PR/SET domain 1		639
BLK	BLK proto-oncogene, Src family tyrosine kinase		640
BLM	BLM RecQ like helicase		641
BLMH	bleomycin hydrolase	NM_000386	642
CXCR5	C-X-C motif chemokine receptor 5	NM_001716	643
BLVRA	biliverdin reductase A	NM_000712	644
BLVRB	biliverdin reductase B	NM_000713	645
BNC1	basonuclin 1	NM_001717	646
BMI1	BMI1 proto-oncogene, polycomb ring finger	NM_005180	648
BMP1	bone morphogenetic protein 1	NM_006132	649
BMP2	bone morphogenetic protein 2		650
BMP3	bone morphogenetic protein 3	NM_001201	651
BMP4	bone morphogenetic protein 4	NM_001202	652
BMP5	bone morphogenetic protein 5		653
BMP6	bone morphogenetic protein 6	NM_001718	654
BMP7	bone morphogenetic protein 7	NM_001719	655
BMP8B	bone morphogenetic protein 8b	NM_001720	656
BMPR1A	bone morphogenetic protein receptor type 1A	NM_004329	657
BMPR1B	bone morphogenetic protein receptor type 1B	NM_001203	658
BMPR2	bone morphogenetic protein receptor type 2	NM_001204	659
BMX	BMX non-receptor tyrosine kinase	NM_001721	660
POLR3D	RNA polymerase III subunit D	NM_001722	661
BNIP1	BCL2 interacting protein 1	NM_013979	662
BNIP2	BCL2 interacting protein 2	NM_004330	663
BNIP3	BCL2 interacting protein 3		664
BNIP3L	BCL2 interacting protein 3 like	NM_004331	665
BOK	BCL2 family apoptosis regulator BOK	NM_032515	666
DST	dystonin	NM_001723	667
FOXL2	forkhead box L2		668
BPGM	bisphosphoglycerate mutase	NM_001724	669
BPHL	biphenyl hydrolase like		670
BPI	bactericidal permeability increasing protein	NM_001725	671
BRCA1	BRCA1 DNA repair associated	NM_007294	672
BRAF	B-Raf proto-oncogene, serine/threonine kinase	NM_004333	673
BRCA2	BRCA2 DNA repair associated	NM_000059	675
BRDT	bromodomain testis associated	NM_207189	676
ZFP36L1	ZFP36 ring finger protein like 1		677
ZFP36L2	ZFP36 ring finger protein like 2	NM_006887	678
BRS3	bombesin receptor subtype 3	NM_001727	680
BSG	basigin (Ok blood group)	NM_001728	682
BST1	bone marrow stromal cell antigen 1	NM_004334	683
BST2	bone marrow stromal cell antigen 2	NM_004335	684
BTC	betacellulin		685
BTD	biotinidase	NM_000060	686
KLF9	KLF transcription factor 9	NM_001206	687
KLF5	KLF transcription factor 5		688
BTF3	basic transcription factor 3	NM_001207	689
BTF3P11	basic transcription factor 3 pseudogene 11	NR_026983	690
BTF3P1	BTF3 pseudogene 1	NG_001086	693
BTG1	BTG anti-proliferation factor 1		694
BTK	Bruton tyrosine kinase	NM_000061	695
BTN1A1	butyrophilin subfamily 1 member A1	NM_001732	696
BUB1	BUB1 mitotic checkpoint serine/threonine kinase	NM_004336	699
BVR1	Burkitt lymphoma variant rearranging region 1		700
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B		701
BYSL	bystin like		705
TSPO	translocator protein	NM_007311	706
C1QBP	complement C1q binding protein	NM_001212	708
SERPING1	serpin family G member 1	NM_000062	710
ERC2-IT1	ERC2 intronic transcript 1	NR_024615	711
C1QA	complement C1q A chain	NM_015991	712
C1QB	complement C1q B chain	NM_000491	713
C1QC	complement C1q C chain	NM_172369	714
C1R	complement C1r	NM_001733	715
C1S	complement C1s	NM_001734	716
C2	complement C2		717
C3	complement C3	NM_000064	718
C3AR1	complement C3a receptor 1	NM_004054	719
C4A	complement C4A (Rodgers blood group)	NM_007293	720
C4B	complement C4B (Chido blood group)	NM_001002029	721
C4BPA	complement component 4 binding protein alpha		722
C4BPAP2	C4BPA pseudogene 2	NG_002761	724
C4BPB	complement component 4 binding protein beta	NM_000716	725
CAPN5	calpain 5	NM_004055	726
C5	complement C5	NM_001735	727
C5AR1	complement C5a receptor 1	NM_001736	728
C6	complement C6		729
C7	complement C7		730
C8A	complement C8 alpha chain	NM_000562	731
C8B	complement C8 beta chain		732
C8G	complement C8 gamma chain		733
OSGIN2	oxidative stress induced growth inhibitor family member 2	NM_004337	734
C9	complement C9		735
VPS51	VPS51 subunit of GARP complex	NM_013265	738
MRPL49	mitochondrial ribosomal protein L49	NM_004927	740
ZNHIT2	zinc finger HIT-type containing 2	NM_014205	741
MPPED2	metallophosphoesterase domain containing 2	NM_001584	744
MYRF	myelin regulatory factor	NM_013279	745
TMEM258	transmembrane protein 258	NM_014206	746
DAGLA	diacylglycerol lipase alpha	NM_006133	747
GAS8-AS1	GAS8 antisense RNA 1	NR_122031	750
FMNL1	formin like 1	NM_005892	752
LDLRAD4	low density lipoprotein receptor class A domain containing 4	NM_181481	753
PTTG1IP	PTTG1 interacting protein		754
CFAP410	cilia and flagella associated protein 410	NM_004928	755
TMEM50B	transmembrane protein 50B		757
MPPED1	metallophosphoesterase domain containing 1	NM_001044370	758
CA1	carbonic anhydrase 1	NM_001738	759
CA2	carbonic anhydrase 2	NM_000067	760
CA3	carbonic anhydrase 3	NM_005181	761
CA4	carbonic anhydrase 4	NM_000717	762
CA5A	carbonic anhydrase 5A	NM_001739	763
CA5AP1	carbonic anhydrase 5A pseudogene 1		764
CA6	carbonic anhydrase 6		765
CA7	carbonic anhydrase 7		766
CA8	carbonic anhydrase 8		767
CA9	carbonic anhydrase 9	NM_001216	768
CA11	carbonic anhydrase 11	NM_001217	770
CA12	carbonic anhydrase 12	NM_001218	771
CACNA1A	calcium voltage-gated channel subunit alpha1 A	NM_000068	773
CACNA1B	calcium voltage-gated channel subunit alpha1 B	NM_000718	774
CACNA1C	calcium voltage-gated channel subunit alpha1 C	NM_000719	775
CACNA1D	calcium voltage-gated channel subunit alpha1 D	NM_000720	776
CACNA1E	calcium voltage-gated channel subunit alpha1 E	NM_000721	777
CACNA1F	calcium voltage-gated channel subunit alpha1 F	NM_005183	778
CACNA1S	calcium voltage-gated channel subunit alpha1 S	NM_000069	779
DDR1	discoidin domain receptor tyrosine kinase 1	NM_013994	780
CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	NM_000722	781
CACNB1	calcium voltage-gated channel auxiliary subunit beta 1		782
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	NM_000724	783
CACNB3	calcium voltage-gated channel auxiliary subunit beta 3		784
CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	NM_000726.3	785
CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1		786
SLC25A20	solute carrier family 25 member 20	NM_000387	788
SLC25A20P1	solute carrier family 25 member 20 pseudogene 1	XM_167131	789
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase		790
CALB1	calbindin 1	NM_004929	793
CALB2	calbindin 2	NM_001740	794
S100G	S100 calcium binding protein G	NM_004057	795
CALCA	calcitonin related polypeptide alpha	NM_001741	796
CALCB	calcitonin related polypeptide beta	NM_000728	797
CALCP	calcitonin pseudogene	NG_001088	798
CALCR	calcitonin receptor	NM_001742	799
CALD1	caldesmon 1	NM_033138	800
CALM1	calmodulin 1		801
CALM1P1	calmodulin 1 pseudogene 1	NG_001089	802
CALM1P2	calmodulin 1 pseudogene 2	NG_001090	804
CALM2	calmodulin 2	NM_001743	805
CALM2P2	calmodulin 2 pseudogene 2		806
CALM2P3	calmodulin 2 pseudogene 3		807
CALM3	calmodulin 3		808
CALML3	calmodulin like 3	NM_005185	810
CALR	calreticulin	NM_004343	811
CALU	calumenin	NM_001219	813
CAMK4	calcium/calmodulin dependent protein kinase IV	NM_001744	814
CAMK2A	calcium/calmodulin dependent protein kinase II alpha	NM_015981	815
CAMK2B	calcium/calmodulin dependent protein kinase II beta	NM_172084	816
CAMK2D	calcium/calmodulin dependent protein kinase II delta		817
CAMK2G	calcium/calmodulin dependent protein kinase II gamma	NM_172169	818
CAMLG	calcium modulating ligand	NM_001745	819
CAMP	cathelicidin antimicrobial peptide	NM_004345	820
CANX	calnexin	NM_001024649	821
CAPG	capping actin protein, gelsolin like	NM_001747	822
CAPN1	calpain 1		823
CAPN2	calpain 2	NM_001748	824
CAPN3	calpain 3		825
CAPNS1	calpain small subunit 1		826
CAPN6	calpain 6		827
CAPS	calcyphosine	NM_004058	828
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	NM_006135	829
CAPZA2	capping actin protein of muscle Z-line subunit alpha 2	NM_006136	830
CAST	calpastatin	NM_173062	831
CAPZB	capping actin protein of muscle Z-line subunit beta		832
CARS1	cysteinyl-tRNA synthetase 1	NM_001751	833
CASP1	caspase 1	NM_033292	834
CASP2	caspase 2	NM_032982	835
CASP3	caspase 3	NM_004346	836
CASP4	caspase 4	NM_001225	837
CASP5	caspase 5	NM_004347	838
CASP6	caspase 6	NM_001226	839
CASP7	caspase 7	NM_033338	840
CASP8	caspase 8	NM_001228	841
CASP9	caspase 9	NM_032996	842
CASP10	caspase 10	NM_032977	843
CASQ1	calsequestrin 1	NM_001231	844
CASQ2	calsequestrin 2	NM_001232	845
CASR	calcium sensing receptor	NM_000388	846
CAT	catalase	NM_001752	847
CATR1	CATR tumorigenicity conversion 1		856
CAV1	caveolin 1	NM_001753	857
CAV2	caveolin 2	NM_001233	858
CAV3	caveolin 3	NM_033337	859
RUNX2	RUNX family transcription factor 2	NM_004348	860
RUNX1	RUNX family transcription factor 1		861
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	NM_004349, NM_175635	862
CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3	NM_005187	863
RUNX3	RUNX family transcription factor 3	NM_004350	864
CBFB	core-binding factor subunit beta	NM_001755	865
SERPINA6	serpin family A member 6	NM_001756	866
CBL	Cbl proto-oncogene	NM_005188	867
CBLB	Cbl proto-oncogene B	NM_170662	868
CBLN1	cerebellin 1 precursor	NM_004352	869
SERPINH1	serpin family H member 1	NM_004353	871
CBR1	carbonyl reductase 1		873
CBR3	carbonyl reductase 3		874
CBS	cystathionine beta-synthase	NM_000071	875
CCIN	calicin	NM_005893	881
KYAT1	kynurenine aminotransferase 1		883
CCK	cholecystokinin	NM_000729	885
CCKAR	cholecystokinin A receptor		886
CCKBR	cholecystokinin B receptor	NM_176875	887
KRIT1	KRIT1 ankyrin repeat containing		889
CCNA2	cyclin A2	NM_001237	890
CCNB1	cyclin B1	NM_031966	891
CCNC	cyclin C	NM_005190	892
CCND2	cyclin D2	NM_001759	894
CCND2P1	cyclin D2 pseudogene 1	NG_001092	895
CCND3	cyclin D3	NM_001760	896
CCND3P1	cyclin D3 pseudogene 1	NG_001093	897
CCNE1	cyclin E1	NM_001238	898
CCNF	cyclin F	NM_001761	899
CCNG1	cyclin G1	NM_004060	900
CCNG2	cyclin G2	NM_004354	901
CCNH	cyclin H	NM_001239	902
CCNT1	cyclin T1	NM_001240	904
CCNT2	cyclin T2	NM_058241	905
CCT6A	chaperonin containing TCP1 subunit 6A	NM_001762	908
CD1A	CD1a molecule	NM_001763	909
CD1B	CD1b molecule	NM_001764	910
CD1C	CD1c molecule	NM_001765	911
CD1D	CD1d molecule	NM_001766	912
CD1E	CD1e molecule	NM_030893	913
CD2	CD2 molecule	NM_001767	914
CD3D	CD3 delta subunit of T-cell receptor complex	NM_000732	915
CD3E	CD3 epsilon subunit of T-cell receptor complex	NM_000733	916
CD3G	CD3 gamma subunit of T-cell receptor complex	NM_000073	917
CD247	CD247 molecule	NM_198053	919
CD4	CD4 molecule	NM_000616	920
CD5	CD5 molecule	NM_014207	921
CD5L	CD5 molecule like	NM_005894	922
CD6	CD6 molecule	NM_006725	923
CD7	CD7 molecule	NM_006137	924
CD8A	CD8 subunit alpha	NM_001768	925
CD8B	CD8 subunit beta	NM_172099	926
CD8B2	CD8B family member 2	NM_001349727	927
CD9	CD9 molecule		928
CD14	CD14 molecule	NM_000591	929
CD19	CD19 molecule		930
MS4A1	membrane spanning 4-domains A1		931
MS4A3	membrane spanning 4-domains A3		932
CD22	CD22 molecule	NM_001771	933
CD24P1	CD24 molecule pseudogene 1	NG_009856	935
CD24P2	CD24 molecule pseudogene 2	NG_009857	936
CD24P3	CD24 molecule pseudogene 3	NG_032176	937
CD24P4	CD24 molecule pseudogene 4	NG_006012	938
CD27	CD27 molecule		939
CD28	CD28 molecule	NM_006139	940
CD80	CD80 molecule	NM_005191	941
CD86	CD86 molecule	NM_006889	942
TNFRSF8	TNF receptor superfamily member 8		943
TNFSF8	TNF superfamily member 8		944
CD33	CD33 molecule	NM_001772	945
SIGLEC6	sialic acid binding Ig like lectin 6	NM_001245	946
CD34	CD34 molecule	NM_001773	947
CD36	CD36 molecule	NM_001001547	948
SCARB1	scavenger receptor class B member 1	NM_005505	949
SCARB2	scavenger receptor class B member 2	NM_005506	950
CD37	CD37 molecule		951
CD38	CD38 molecule	NM_001775	952
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	NM_001776	953
ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	NM_203468	954
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6		955
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	NM_001248	956
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	NM_001249	957
CD40	CD40 molecule	NM_001250	958
CD40LG	CD40 ligand	NM_000074	959
CD44	CD44 molecule (Indian blood group)	NM_000610	960
CD47	CD47 molecule	NM_001777	961
CD48	CD48 molecule	NM_001778	962
CD53	CD53 molecule	NM_000560	963
CD58	CD58 molecule	NM_001779	965
CD59	CD59 molecule (CD59 blood group)	NM_203329	966
CD63	CD63 molecule		967
CD68	CD68 molecule	NM_001251	968
CD69	CD69 molecule		969
CD70	CD70 molecule		970
CD72	CD72 molecule	NM_001782	971
CD74	CD74 molecule	NM_004355	972
CD79A	CD79a molecule		973
CD79B	CD79b molecule		974
CD81	CD81 molecule	NM_004356	975
ADGRE5	adhesion G protein-coupled receptor E5	NM_078481	976
CD151	CD151 molecule (Raph blood group)	NM_004357	977
CDA	cytidine deaminase	NM_001785	978
CDK1	cyclin dependent kinase 1	NM_001786	983
CDK11B	cyclin dependent kinase 11B	NM_001787	984
LRBA	LPS responsive beige-like anchor protein		987
CDC5L	cell division cycle 5 like		988
SEPTIN7	septin 7	NM_001788	989
CDC6	cell division cycle 6		990
CDC20	cell division cycle 20	NM_001255	991
CDC25A	cell division cycle 25A	NM_001789	993
CDC25B	cell division cycle 25B	NM_021874	994
CDC25C	cell division cycle 25C		995
CDC27	cell division cycle 27		996
CDC34	cell division cycle 34, ubiqiutin conjugating enzyme	NM_004359	997
CDC42	cell division cycle 42	NM_001791	998
CDH1	cadherin 1	NM_004360	999
CDH2	cadherin 2	NM_001792	1000
CDH3	cadherin 3	NM_001793	1001
CDH4	cadherin 4	NM_001794	1002
CDH5	cadherin 5	NM_001795	1003
CDH6	cadherin 6	NM_004932	1004
CDH7	cadherin 7	NM_033646	1005
CDH8	cadherin 8	NM_001796	1006
CDH9	cadherin 9	NM_016279	1007
CDH10	cadherin 10	NM_006727	1008
CDH11	cadherin 11	NM_033664	1009
CDH12	cadherin 12	NM_004061	1010
CDH12P2	cadherin 12 pseudogene 2		1011
CDH13	cadherin 13	NM_001257	1012
CDH15	cadherin 15	NM_004933	1013
CDH16	cadherin 16	NM_004062	1014
CDH17	cadherin 17	NM_004063	1015
CDH18	cadherin 18	NM_004934	1016
CDK2	cyclin dependent kinase 2		1017
CDK3	cyclin dependent kinase 3	NM_001258	1018
CDK4	cyclin dependent kinase 4	NM_000075	1019
CDK5	cyclin dependent kinase 5		1020
CDK6	cyclin dependent kinase 6		1021
CDK7	cyclin dependent kinase 7	NM_001799	1022
CDK8	cyclin dependent kinase 8		1024
CDK9	cyclin dependent kinase 9		1025
CDKN1A	cyclin dependent kinase inhibitor 1A	NM_078467	1026
CDKN1B	cyclin dependent kinase inhibitor 1B	NM_004064	1027
CDKN1C	cyclin dependent kinase inhibitor 1C	NM_000076	1028
CDKN2A	cyclin dependent kinase inhibitor 2A	NM_000077	1029
CDKN2B	cyclin dependent kinase inhibitor 2B	NM_004936	1030
CDKN2C	cyclin dependent kinase inhibitor 2C	NM_001262	1031
CDKN2D	cyclin dependent kinase inhibitor 2D	NM_079421	1032
CDKN3	cyclin dependent kinase inhibitor 3		1033
CDO1	cysteine dioxygenase type 1	NM_001801	1036
CDR1	cerebellar degeneration related 1	NM_004065	1038
CDR2	cerebellar degeneration related protein 2		1039
CDS1	CDP-diacylglycerol synthase 1		1040
CDSN	corneodesmosin		1041
CD52	CD52 molecule	NM_001803	1043
CDX1	caudal type homeobox 1	NM_001804	1044
CDX2	caudal type homeobox 2		1045
CDX4	caudal type homeobox 4	NM_005193	1046
CLGN	calmegin	NM_004362	1047
CEACAM5	CEA cell adhesion molecule 5	NM_004363	1048
CEBPA	CCAAT enhancer binding protein alpha	NM_004364	1050
CEBPB	CCAAT enhancer binding protein beta	NM_005194	1051
CEBPD	CCAAT enhancer binding protein delta	NM_005195	1052
CEBPE	CCAAT enhancer binding protein epsilon	NM_001805	1053
CEBPG	CCAAT enhancer binding protein gamma	NM_001806	1054
CECR	cat eye syndrome chromosome region		1055
CEL	carboxyl ester lipase		1056
CELP	carboxyl ester lipase pseudogene	NR_001275	1057
CENPA	centromere protein A	NM_001809	1058
CENPB	centromere protein B	NM_001810	1059
CENPC	centromere protein C		1060
CENPCP1	centromere protein C pseudogene 1	NG_003044	1061
CENPE	centromere protein E		1062
CENPF	centromere protein F	NM_016343	1063
CES1	carboxylesterase 1	NM_001266	1066
CETN1	centrin 1	NM_004066	1068
CETN2	centrin 2	NM_004344	1069
CETN3	centrin 3	NM_004365	1070
CETP	cholesteryl ester transfer protein	NM_000078	1071
CFL1	cofilin 1	NM_005507	1072
CFL2	cofilin 2	NM_138638	1073
CFL1P5	cofilin 1 pseudogene 5		1074
CTSC	cathepsin C	NM_001814	1075
CFTR	CF transmembrane conductance regulator	NM_000492	1080
CGA	glycoprotein hormones, alpha polypeptide	NM_000735	1081
CGB3	chorionic gonadotropin subunit beta 3	NM_000737	1082
CEACAM3	CEA cell adhesion molecule 3	NM_001815	1084
CEACAMP5	CEA cell adhesion molecule pseudogene 5	NG_001094	1085
CEACAMP11	CEA cell adhesion molecule pseudogene 11	NG_001095	1086
CEACAM7	CEA cell adhesion molecule 7	NM_006890	1087
CEACAM8	CEA cell adhesion molecule 8		1088
CEACAM4	CEA cell adhesion molecule 4	NM_001817	1089
CEACAMP1	CEA cell adhesion molecule pseudogene 1	NG_001096	1090
CEACAMP2	CEA cell adhesion molecule pseudogene 2	NG_001097	1091
